1777864605.532839 server started (26101): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1777864605.532857 on Linux 6.17.0-22-generic #22~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Mar 26 15:25:54 UTC 2
1777864605.532862 using libevent 2.1.12-stable poll
1777864605.532865 using ncurses 6.4 20240113
1777864605.532906 input_key_build: 0x10e003 (PasteStart) is \033[200~
1777864605.532909 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1777864605.532911 input_key_build: 0x10e195 (F1) is \033OP
1777864605.532913 input_key_build: 0x10e196 (F2) is \033OQ
1777864605.532915 input_key_build: 0x10e197 (F3) is \033OR
1777864605.532917 input_key_build: 0x10e198 (F4) is \033OS
1777864605.532918 input_key_build: 0x10e199 (F5) is \033[15~
1777864605.532920 input_key_build: 0x10e19a (F6) is \033[17~
1777864605.532922 input_key_build: 0x10e19b (F7) is \033[18~
1777864605.532924 input_key_build: 0x10e19c (F8) is \033[19~
1777864605.532926 input_key_build: 0x10e19d (F9) is \033[20~
1777864605.532928 input_key_build: 0x10e19e (F10) is \033[21~
1777864605.532930 input_key_build: 0x10e19f (F11) is \033[23~
1777864605.532932 input_key_build: 0x10e1a0 (F12) is \033[24~
1777864605.532936 input_key_build: 0x10e1a1 (IC) is \033[2~
1777864605.532938 input_key_build: 0x10e1a2 (DC) is \033[3~
1777864605.532940 input_key_build: 0x10e1a3 (Home) is \033[1~
1777864605.532942 input_key_build: 0x10e1a4 (End) is \033[4~
1777864605.532944 input_key_build: 0x10e1a5 (NPage) is \033[6~
1777864605.532946 input_key_build: 0x10e1a6 (PPage) is \033[5~
1777864605.532948 input_key_build: 0x10e1a7 (BTab) is \033[Z
1777864605.532949 input_key_build: 0x10e1a8 (Up) is \033[A
1777864605.532951 input_key_build: 0x10e1a9 (Down) is \033[B
1777864605.532953 input_key_build: 0x10e1aa (Left) is \033[D
1777864605.532955 input_key_build: 0x10e1ab (Right) is \033[C
1777864605.532957 input_key_build: 0x10e1ac (KP/) is /
1777864605.532959 input_key_build: 0x10e1ad (KP*) is *
1777864605.532970 input_key_build: 0x10e1ae (KP-) is -
1777864605.532972 input_key_build: 0x10e1af (KP7) is 7
1777864605.532974 input_key_build: 0x10e1b0 (KP8) is 8
1777864605.532976 input_key_build: 0x10e1b1 (KP9) is 9
1777864605.532977 input_key_build: 0x10e1b2 (KP+) is +
1777864605.532979 input_key_build: 0x10e1b3 (KP4) is 4
1777864605.532981 input_key_build: 0x10e1b4 (KP5) is 5
1777864605.532983 input_key_build: 0x10e1b5 (KP6) is 6
1777864605.532985 input_key_build: 0x10e1b6 (KP1) is 1
1777864605.532987 input_key_build: 0x10e1b7 (KP2) is 2
1777864605.532989 input_key_build: 0x10e1b8 (KP3) is 3
1777864605.532994 input_key_build: 0x10e1b9 (KPEnter) is \n
1777864605.532996 input_key_build: 0x10e1ba (KP0) is 0
1777864605.532998 input_key_build: 0x10e1bb (KP.) is .
1777864605.533000 input_key_build: 0x200000000009 (C-Tab) is \t
1777864605.533002 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1777864605.533004 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1777864605.533006 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1777864605.533008 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1777864605.533010 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1777864605.533012 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1777864605.533014 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1777864605.533016 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1777864605.533018 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1777864605.533020 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1777864605.533022 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1777864605.533024 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1777864605.533026 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1777864605.533028 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1777864605.533030 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1777864605.533032 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1777864605.533034 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1777864605.533036 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1777864605.533038 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1777864605.533045 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1777864605.533047 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1777864605.533049 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1777864605.533051 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1777864605.533055 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1777864605.533057 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1777864605.533059 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1777864605.533061 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1777864605.533063 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1777864605.533065 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1777864605.533067 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1777864605.533069 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1777864605.533071 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1777864605.533073 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1777864605.533075 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1777864605.533077 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1777864605.533079 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1777864605.533081 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1777864605.533083 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1777864605.533085 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1777864605.533087 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1777864605.533089 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1777864605.533091 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1777864605.533093 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1777864605.533095 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1777864605.533097 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1777864605.533099 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
